// Format:									
//									
// 		Note: The order of the tables MUST match the definition in WLAN driver.							
//									
//		Power Limit Table Parameter Definition							
//									
//		@@Ver=3.0							
//									
//	(1)	Version 3.0 support to add regulations in the Power Limit Table from column 4.
//		Customers can add new regulations by using DomainCode or CountryConde(ISO 3166-2).							
//									
//	(2)	Syntax:
//			1. @@DomainCode=xx,  Regulation=xx
//			2. @@CountryCode=xx,  Regulation=xx
//									
//		ex.							
//			   @@DomainCode=0x2B, Regulation=IC	//RTK define domain code 0x2B for IC in colume 4
//			   @@DomainCode=0x28, Regulation=KCC	//RTK define domain code 0x28 for KCC in colume 5
//			   @@DomainCode=0x62, Regulation=C6	//Customer define domain code 0x62 for C6 in colume 6
//			   @@CountryCode=US, Regulation=C6	//Customer define country code US for C6 in colume 6
//			   @@CountryCode=GB, Regulation=C7	//Customer define country code GB for C7 in colume 7
//									
//		One DomainCode MUST has only one Regulation in Table.							
//		One CountyCode MUST has only one Regulation in Table.							
//									
//	(3)	Error Syntax:
//									
//			   @@DomainCode=0x2D, Regulation=C6
//			   @@DomainCode=0x2D, Regulation=C7
//			   @@CountryCode=US, Regulation=C8
//			   @@CountryCode=US, Regulation=C9
//									
//									
//	(4)	If want to disable Tx power limit for one DomainCode or CountryConde, you can write "NONE" in Regulation.
//									
//		Syntax:							
//			1. @@DomainCode=xx,  Regulation=NONE
//			2. @@CountryCode=xx,  Regulation=NONE
//									
//		ex.							
//			   @@DomainCode=0x2D, Regulation=NONE	//The domain code 0x2D will be disable in the Power Limit Table.
//			   @@CountryCode=US, Regulation=NONE	//The country code US will be disable in the Power Limit Table.
//									
//									
//									
//									
//		Band:			6G				
//		Bandwidth:		20/40/80/160 MHZ					
//		RF Path:		1/2 Transmit RF					
//		Rate Section:	OFDM/HE						
//		Regulation: FCC/ETSI/MKK/IC/KCC/ACMA/CHILE/UKRAINE/MEXICO/CN/QATAR							
//									
//		Description:							
//		1. IF in 1T test							
//		2. power is real dBm.							
//		3. // is for comment.							
//									
// 		NA is non-release channle.							
//									
//		Limit Table Version : V16							
@@Ver=3.0									
@@CountryCode=CL, Regulation=CHILE
@@CountryCode=UA, Regulation=UKRAINE
//									
//Table 1: ===========================================									
//									
##	6G, 20M, 1T, OFDM, NA//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
##	END								
//									
//Table 6: ===========================================									
//									
##	6G, 40M, 1T, HE, NA//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH03	8.5	16.5	10	8.5	16.5	16.5	15.5	8.5	16.5
CH11	8.5	16.5	10	8.5	16.5	16.5	15.5	8.5	16.5
CH19	8.5	16.5	10	8.5	16.5	16.5	15.5	8.5	16.5
CH27	8.5	16.5	10	8.5	16.5	16.5	15.5	8.5	16.5
CH35	8.5	16.5	10	8.5	16.5	16.5	15.5	8.5	16.5
CH43	8.5	16.5	10	8.5	16.5	16.5	15.5	8.5	16.5
CH51	9	16.5	10	9	16.5	16.5	16	9	16.5
CH59	8.5	16.5	10	8.5	16.5	16.5	16	8.5	16.5
CH67	8.5	16.5	10	8.5	16.5	16.5	16	8.5	16.5
CH75	8.5	16.5	10	8.5	16.5	16.5	16	8.5	16.5
CH83	8.5	16.5	10	8.5	16.5	16.5	16	8.5	16.5
CH91	8.5	16.5	10	8.5	16.5	16.5	16	8.5	16.5
// 6G UNII-6									
CH99	8.5	NA	10	8.5	NA	NA	NA	NA	NA
CH107	8.5	NA	10	8.5	NA	NA	NA	NA	NA
// 6G UNII-7 & 8									
CH115	9	NA	10	9	NA	NA	NA	NA	NA
CH123	9	NA	10	9	NA	NA	NA	NA	NA
CH131	8.5	NA	10	8.5	NA	NA	NA	NA	NA
CH139	8.5	NA	10	8.5	NA	NA	NA	NA	NA
CH147	8.5	NA	10	8.5	NA	NA	NA	NA	NA
CH155	8.5	NA	10	8.5	NA	NA	NA	NA	NA
CH163	8.5	NA	10	8.5	NA	NA	NA	NA	NA
CH171	8.5	NA	10.5	8.5	NA	NA	NA	NA	NA
CH179	8.5	NA	10.5	8.5	NA	NA	NA	NA	NA
CH187	8.5	NA	10.5	8.5	NA	NA	NA	NA	NA
CH195	9	NA	10.5	9	NA	NA	NA	NA	NA
CH203	8.5	NA	10.5	8.5	NA	NA	NA	NA	NA
CH211	8.5	NA	10.5	8.5	NA	NA	NA	NA	NA
CH219	8.5	NA	10.5	8.5	NA	NA	NA	NA	NA
CH227	9	NA	10.5	9	NA	NA	NA	NA	NA
CH235	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH243	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH251	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END								
//									
//Table 7: ===========================================									
//									
##	6G, 40M, 2T, HE, NA//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH03	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH11	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH19	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH27	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH35	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH43	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH51	2.5	13.5	7	2.5	13.5	13.5	13.5	2.5	13.5
CH59	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH67	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH75	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH83	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
CH91	2.5	13.5	7	2.5	13.5	13.5	13	2.5	13.5
// 6G UNII-6									
CH99	3	NA	7	3	NA	NA	NA	NA	NA
CH107	3	NA	7	3	NA	NA	NA	NA	NA
// 6G UNII-7 & 8									
CH115	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH123	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH131	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH139	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH147	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH155	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH163	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH171	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH179	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH187	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH195	3	NA	8	3	NA	NA	NA	NA	NA
CH203	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH211	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH219	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH227	3	NA	8	3	NA	NA	NA	NA	NA
CH235	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH243	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH251	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END								
//									
//Table 8: ===========================================									
//									
##	6G, 40M, 2T, HE, BF//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH03	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH11	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH19	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH27	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH35	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH43	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH51	2.5	10.5	7	2.5	10.5	10.5	13.5	2.5	10.5
CH59	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH67	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH75	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH83	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
CH91	2.5	10.5	7	2.5	10.5	10.5	13	2.5	10.5
// 6G UNII-6									
CH99	3	NA	7	3	NA	NA	NA	NA	NA
CH107	3	NA	7	3	NA	NA	NA	NA	NA
// 6G UNII-7 & 8									
CH115	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH123	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH131	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH139	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH147	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH155	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH163	2.5	NA	7	2.5	NA	NA	NA	NA	NA
CH171	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH179	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH187	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH195	3	NA	8	3	NA	NA	NA	NA	NA
CH203	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH211	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH219	2.5	NA	8	2.5	NA	NA	NA	NA	NA
CH227	3	NA	8	3	NA	NA	NA	NA	NA
CH235	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH243	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH251	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END								
//									
//Table 9: ===========================================									
//									
##	6G, 80M, 1T, HE, NA//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH07	11.5	12	12.5	11.5	14.5	14.5	14.5	11.5	14.5
CH23	11.5	12	12.5	11.5	14.5	14.5	14.5	11.5	14.5
CH39	11.5	12	12.5	11.5	14.5	14.5	14.5	11.5	14.5
CH55	11.5	12	12.5	11.5	14.5	14.5	14.5	11.5	14.5
CH71	11.5	12	12.5	11.5	14.5	14.5	14.5	11.5	14.5
CH87	11.5	12	12.5	11.5	14.5	14.5	14.5	11.5	14.5
// 6G UNII-6									
CH103	11.5	NA	12	11.5	NA	NA	NA	NA	NA
// 6G UNII-7 & 8									
CH119	11.5	NA	12	11.5	NA	NA	NA	NA	NA
CH135	11.5	NA	12	11.5	NA	NA	NA	NA	NA
CH151	11.5	NA	12	11.5	NA	NA	NA	NA	NA
CH167	11.5	NA	13	11.5	NA	NA	NA	NA	NA
CH183	11.5	NA	13	11.5	NA	NA	NA	NA	NA
CH199	11.5	NA	12.5	11.5	NA	NA	NA	NA	NA
CH215	11	NA	12.5	11	NA	NA	NA	NA	NA
CH231	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH247	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END								
//									
//Table 10: ===========================================									
//									
##	6G, 80M, 2T, HE, NA//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH07	5.5	12	9.5	5.5	13.5	13.5	13	5.5	13.5
CH23	5	12	9.5	5	13.5	13.5	13	5	13.5
CH39	5	12	9.5	5	13.5	13.5	13	5	13.5
CH55	5	12	9.5	5	13.5	13.5	13	5	13.5
CH71	5	12	9.5	5	13.5	13.5	12	5	13.5
CH87	5.5	12	9.5	5.5	13.5	13.5	12	5.5	13.5
// 6G UNII-6									
CH103	5.5	NA	9.5	5.5	NA	NA	NA	NA	NA
// 6G UNII-7 & 8									
CH119	5	NA	9.5	5	NA	NA	NA	NA	NA
CH135	5.5	NA	9.5	5.5	NA	NA	NA	NA	NA
CH151	5	NA	9.5	5	NA	NA	NA	NA	NA
CH167	5	NA	9.5	5	NA	NA	NA	NA	NA
CH183	5	NA	9.5	5	NA	NA	NA	NA	NA
CH199	5.5	NA	9.5	5.5	NA	NA	NA	NA	NA
CH215	5.5	NA	9.5	5.5	NA	NA	NA	NA	NA
CH231	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH247	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END								
//									
//Table 11: ===========================================									
//									
##	6G, 80M, 2T, HE, BF//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH07	5.5	10.5	9.5	5.5	10.5	10.5	13	5.5	10.5
CH23	5	10.5	9.5	5	10.5	10.5	13	5	10.5
CH39	5	10.5	9.5	5	10.5	10.5	13	5	10.5
CH55	5	10.5	9.5	5	10.5	10.5	13	5	10.5
CH71	5	10.5	9.5	5	10.5	10.5	12	5	10.5
CH87	5.5	10.5	9.5	5.5	10.5	10.5	12	5.5	10.5
// 6G UNII-6									
CH103	5.5	NA	9.5	5.5	NA	NA	NA	NA	NA
// 6G UNII-7 & 8									
CH119	5	NA	9.5	5	NA	NA	NA	NA	NA
CH135	5.5	NA	9.5	5.5	NA	NA	NA	NA	NA
CH151	5	NA	9.5	5	NA	NA	NA	NA	NA
CH167	5	NA	9.5	5	NA	NA	NA	NA	NA
CH183	5	NA	9.5	5	NA	NA	NA	NA	NA
CH199	5.5	NA	9.5	5.5	NA	NA	NA	NA	NA
CH215	5.5	NA	9.5	5.5	NA	NA	NA	NA	NA
CH231	NA	NA	NA	NA	NA	NA	NA	NA	NA
CH247	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END								
//									
//Table 12: ===========================================									
//									
##	6G, 160M, 1T, HE, NA//				
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH15	13	9.5	10.5	13	12.5	12.5	12.5	13	12.5
CH47	13	9.5	10.5	13	12.5	12.5	12.5	13	12.5
CH79	13	9.5	10.5	13	12.5	12.5	12.5	13	12.5
// 6G UNII-6 & 7 & 8									
CH111	13.5	NA	14	13.5	NA	NA	NA	NA	NA
CH143	13.5	NA	13.5	13.5	NA	NA	NA	NA	NA
CH175	13.5	NA	6.5	13.5	NA	NA	NA	NA	NA
CH207	10	NA	6.5	10	NA	NA	NA	NA	NA
CH239	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END								
//									
//Table 13: ===========================================									
//									
##	6G, 160M, 2T, HE, NA//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH15	8	9.5	10	8	12.5	12.5	9.5	8	12.5
CH47	7.5	9.5	10	7.5	11.5	11.5	12	7.5	11.5
CH79	7.5	9.5	10	7.5	11.5	11.5	12	7.5	11.5
// 6G UNII-6 & 7 & 8									
CH111	7.5	NA	12	7.5	NA	NA	NA	NA	NA
CH143	8	NA	12	8	NA	NA	NA	NA	NA
CH175	8	NA	6	8	NA	NA	NA	NA	NA
CH207	8	NA	6	8	NA	NA	NA	NA	NA
CH239	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END								
//									
//Table 14: ===========================================									
//									
##	6G, 160M, 2T, HE, BF//
##	START								
##	#9#								
##	FCC	ETSI	KCC	IC	ACMA	UK	MKK	CHILE	QATAR
PShape	0	0	0	0	0	0	0	0	0
// 6G UNII-5									
CH15	8	9.5	10	8	10.5	10.5	9.5	8	10.5
CH47	7.5	9.5	10	7.5	10.5	10.5	12	7.5	10.5
CH79	7.5	9.5	10	7.5	10.5	10.5	12	7.5	10.5
// 6G UNII-6 & 7 & 8									
CH111	7.5	NA	12	7.5	NA	NA	NA	NA	NA
CH143	8	NA	12	8	NA	NA	NA	NA	NA
CH175	8	NA	6	8	NA	NA	NA	NA	NA
CH207	8	NA	6	8	NA	NA	NA	NA	NA
CH239	NA	NA	NA	NA	NA	NA	NA	NA	NA
##	END								
